speaker_standardized,speaker_proper,speaker_title,speaker_group,speaker_affiliation,speaker_notes
c/supt. carson pardy,Carson Pardy,Chief Superintendent (C/Supt),witness,Ontario Provincial Police / Government of Ontario (ON-OPP),
cara zwibel,Cara Zwibel,Counsel,counsel,Canadian Civil Liberties Association (CCLA),
caroline laverdière,Caroline Laverdière,Counsel,counsel,Government of Canada (GC),
cheyenne arnold-cunningham,Cheyenne Arnold-Cunningham,Counsel,counsel,Union of British Columbia Indian Chiefs (UBCIC),
christian dea,Christian Dea,Director General and Chief Economist (DG),witness,Transport / Government of Canada (GC-TC),
christine johnson,Christine Johnson,Counsel,counsel,Ottawa Coalition of Residents and Businesses,
christopher barber,Chris Barber,,witness,Freedom Corp / Convoy Organizers,
christopher deering,Chris Deering,,witness,Convoy participants,per interv. 17-093-28
christopher diana,Christopher Diana,Counsel,counsel,Ontario Provincial Police / Government of Ontario (ON-OPP),
colleen mckeown,Colleen McKeown,Counsel,counsel,Criminal Lawyers’ Association / Canadian Council of Criminal Defence Lawyers (CLA/CCCDL),
comm. brenda lucki,Brenda Lucki,Commissioner (Comm),witness,Royal Canadian Mounted Police / Government of Canada (GC-RCMP),
comm. thomas carrique,Thomas Carrique,Commissioner (Comm),witness,Ontario Provincial Police / Government of Ontario (ON-OPP),
commissioner rouleau,Paul Rouleau,Commissioner,commission,Public Order Emergency Commission (POEC),
councillor catherine mckenney,Catherine McKenney,Councillor,witness,City of Ottawa (Ott),
councillor marco van huigenbos,Marco Van Huigenbos,Councillor,witness,Fort Macleod,
councillor mathieu fleury,Mathieu Fleury,Councillor,witness,City of Ottawa (Ott),
cynthia lau,Cynthia Lau,Counsel,counsel,Government of Canada (GC),
d/comm. curtis zablocki,Curtis Zablocki,Deputy Commissioner (D/Comm),witness,Royal Canadian Mounted Police / Government of Canada (GC-RCMP),
d/comm. michael duheme,Michael Duheme,Deputy Commissioner (D/Comm),witness,Royal Canadian Mounted Police / Government of Canada (GC-RCMP),
dahlia shuhaibar,Dahlia Shuhaibar,Counsel,counsel,Public Order Emergency Commission (POEC),
daniel bulford,Daniel Bulford,,witness,Freedom Corp / Convoy Organizers,HRF00001553
daniel chomski,Daniel Chomski,Counsel,counsel,City of Ottawa (Ott),verify title
daniel sheppard,Dan Sheppard,Senior Counsel,counsel,Public Order Emergency Commission (POEC),
darrell kloeze,Darrell Kloeze,Counsel,counsel,Government of Ontario (ON),
david migicovsky,David Migicovsky,Counsel,counsel,Ottawa Police Service / City of Ottawa (Ott-OPS),verify title
david shiroky,David Shiroky,Counsel,counsel,Government of Canada (GC),verify title
david vigneault,David Vigneault,Director,witness,Canadian Security Intelligence Service / Government of Canada (GC-CSIS),
deputy chief jason crowley,Jason Crowley,Deputy Chief,witness,Windsor Police Service / City of Windsor (Win-WPS),
deputy pm chrystia freeland,Chrystia Freeland,Deputy Prime Minister,witness,Finance / Government of Canada (GC-FIN),
diane deans,Diane Deans,Councillor,witness,City of Ottawa (Ott),
dm. michael keenan,Michael Keenan,Deputy Minister,witness,Transport / Government of Canada (GC-TC),
dm. michael sabia,Michael Sabia,Deputy Minister,witness,Finance / Government of Canada (GC-FIN),
dm. robert stewart,Rob Stewart,Deputy Minister,witness,Public Safety / Government of Canada (GC-PS),
donnaree nygard,Donnaree Nygard,Counsel,counsel,Government of Canada (GC),verify title
dsg. mario di tommaso,Mario Di Tommaso,Deputy Solicitor General (DSG),witness,Solicitor General / Government of Ontario (ON-SolGen),
emilie taman,Emilie Taman,Counsel,counsel,Ottawa Coalition of Residents and Businesses,verify title
eric brousseau,Eric Brousseau,Counsel,counsel,Public Order Emergency Commission (POEC),
étienne lacombe,Étienne Lacombe,Counsel,counsel,Public Order Emergency Commission (POEC),
eva chipiuk,Eva Chipiuk,Counsel,counsel,Freedom Corp / Convoy Organizers,verify title
ewa krajewska,Ewa Krajewska,Counsel,counsel,Canadian Civil Liberties Association (CCLA),verify title
frank au,Frank Au,Senior Counsel,counsel,Public Order Emergency Commission (POEC),
gabriel poliquin,Gabriel Poliquin,Senior Counsel,counsel,Public Order Emergency Commission (POEC),
gordon cameron,Gordon Cameron,Senior Counsel,counsel,Public Order Emergency Commission (POEC),
graham reeder,Graham Reeder,Counsel,counsel,City of Windsor (Win),verify title
greg delbigio,Greg DelBigio,Counsel,counsel,Criminal Lawyers’ Association / Canadian Council of Criminal Defence Lawyers (CLA/CCCDL),
guillaume sirois-gingras,Guillaume Sirois,Counsel,counsel,Public Order Emergency Commission (POEC),
hana laura yamamoto,Hana Laura Yamamoto,Counsel,counsel,Government of Alberta (AB),verify title
hatim kheir,Hatim Kheir,Counsel,counsel,Democracy Fund / Citizens for Freedom / Justice Centre for Constitutional Freedoms Coalition (DF / CfF / JCCF),verify title
heather paterson,Heather Paterson,Counsel,counsel,Windsor Police Service / City of Windsor (Win-WPS),verify title
insp. russell lucas,Russell Lucas,Inspector (Insp),witness,Ottawa Police Service / City of Ottawa (Ott-OPS),
interim chief steve bell,Steve Bell,Interim Chief,witness,Ottawa Police Service / City of Ottawa (Ott-OPS),
jacqueline bogden,Jacquie Bogden,Deputy Secretary to the Cabinet (DM),witness,Privy Council Office / Government of Canada (GC-PCO),
james bauder,James Bauder,,witness,Canada Unity,not part of standing group for Freedom Corp etc but was a convoy organizer per interv. 16-176-02; see also WTS.00000058
janani shanmuganathan,Janani Shanmuganathan,Counsel,counsel,Canadian Constitution Foundation (CCF),verify title
jane scharf,Jane Scharf,Counsel,counsel,Brigitte Belton,verify title
janice charette,Janice Charette,Clerk of the Privy Council,witness,Privy Council Office / Government of Canada (GC-PCO),
jason beitchman,Jason Beitchman,Counsel,counsel,National Crowdfunding and Fintech Association,verify title
jean-simon schoenholz,Jean-Simon Schoenholz,Counsel,counsel,Public Order Emergency Commission (POEC),
jeffery hutchinson,Jeff Hutchinson,Assistant Secretary to the Cabinet (ADM),witness,Privy Council Office / Government of Canada (GC-PCO),
jeffrey leon,Jeffrey Leon,Co-lead Counsel,counsel,Public Order Emergency Commission (POEC),
jen del riccio,Jen Del Riccio,Counsel,counsel,National Police Federation,verify title
jennifer king,Jennifer L. King,Counsel,counsel,City of Windsor (Win),verify title
jeremy mackenzie,Jeremy MacKenzie,,witness,Diagolon,org: per context around interv. 17-155-23
jessica barrow,Jessica Barrow,Counsel,counsel,Ottawa Police Service / City of Ottawa (Ott-OPS),verify title
jim karahalios,Jim Karahalios,Counsel,counsel,Benjamin Dichter,
jinan kubursi,Jinan Kubursi,Counsel,counsel,Ontario Provincial Police / Government of Ontario (ON-OPP),verify title
jody thomas,Jody Thomas,National Security and Intelligence Advisor (NSIA),witness,Privy Council Office / Government of Canada (GC-PCO),
john brodhead,John Brodhead,Director of Policy,witness,Prime Minister’s Office / Government of Canada (GC-PMO),
john mather,John Mather,Counsel,counsel,Public Order Emergency Commission (POEC),
john ossowski,John Ossowski,former President (DM),witness,Canadian Border Services Agency / Government of Canada (GC-CBSA),
joseph comartin,Joe Comartin,Consul General,witness,Global Affairs / Government of Canada (GC-GAC),
katherine telford,Katie Telford,Chief of Staff,witness,Prime Minister’s Office / Government of Canada (GC-PMO),
kathleen tanner,Kathleen Tanner,Counsel,counsel,Government of Canada (GC),
keith wilson,Keith Wilson,,witness,Freedom Corp / Convoy Organizers,WTS.00000058
kenneth weatherill,Kenneth Weatherill,Deputy Inspector General,witness,Solicitor General / Government of Ontario (ON-SolGen),WTS.00000080
kevin mchale,Kevin McHale,Executive Director,witness,Spark Street Business Improvement Area and Mall Authority (Sparks BIA),
kim ayotte,Kim Ayotte,General Manager,witness,City of Ottawa (Ott),WTS.00000020
lani rouillard,Lani Rouillard,Counsel,counsel,Paul Leschied,
lauren pearce,Lauren Pearce,Counsel,counsel,National Police Federation,verify title
mandy england,Mandy England,Counsel,counsel,Government of Alberta (AB),verify title
margaret hope-braun,Maggie Hope Braun,,witness,Convoy participants,per interv. 17-094-13
marie-hélène chayer,Marie-Hélène Chayer,Executive Director,witness,Integrated Terrorism Assessment Centre / Government of Canada (GC-ITAC),
martin rejman,Martin Rejman,Counsel,counsel,Marco Van Huigenbos,
mayor drew dilkens,Drew Dilkens,Mayor,witness,City of Windsor (Win),
mayor jim watson,Jim Watson,Mayor,witness,City of Ottawa (Ott),
mayor jimmy willett,Jim Willett,Mayor,witness,Coutts,
michael finley,Michael Finley,Counsel,counsel,City of Windsor (Win),verify title
michael morris,Michael J. Morris,Counsel,counsel,Government of Saskatchewan (SK),verify title
michelle tessier,Michelle Tessier,Deputy Director,witness,Canadian Security Intelligence Service / Government of Canada (GC-CSIS),
minister anita anand,Anita Anand,Minister,witness,National Defence / Government of Canada (GC-DND),
minister david lametti,David Lametti,Minister,witness,Finance / Government of Canada (GC-FIN),
minister dominic leblanc,Dominic LeBlanc,Minister,witness,Intergovernmental Affairs / Government of Canada (GC-IGA),
minister marco mendicino,Marco Mendicino,Minister,witness,Public Safety / Government of Canada (GC-PS),
minister omar alghabra,Omar Alghabra,Minister,witness,Transport / Government of Canada (GC-TC),
minister william blair,Bill Blair,Minister,witness,Emergency Preparedness / Government of Canada (GC-PS),
misha boutilier,Misha Boutilier,Counsel,counsel,Public Order Emergency Commission (POEC),
mitch mcadam,P. Mitch McAdam,Counsel,counsel,Government of Saskatchewan (SK),verify title
natalia rodriguez,Natalia Rodriguez,Senior Counsel,counsel,Public Order Emergency Commission (POEC),
natasha calvinho,Natasha Calvinho,Counsel,counsel,Pat King,
nathalie carrier,Nathalie Carrier,Executive Director,witness,Vanier Business Improvement Area (Vanier BIA),
nathalie drouin,Nathalie Drouin,Deputy Clerk of the Privy Council,witness,Privy Council Office / Government of Canada (GC-PCO),
nicolas st-pierre,Nicolas St-Pierre,Counsel,counsel,Steeve Charland,
nikolas de stefano,Nikolas De Stefano,Counsel,counsel,Peter Sloly,verify title
nini jones,Nini Jones,Counsel,counsel,National Police Federation,verify title
nusra khan,Nusra Khan,Counsel,counsel,Public Order Emergency Commission (POEC),
patrick king,Pat King,,witness,Convoy participants,see WTS.00000058
paul champ,Paul Champ,Counsel,counsel,Ottawa Coalition of Residents and Businesses,verify title
paul leschied,Paul Leschied,,witness,"Convoy participants, Windsor",
peter sloly,Peter Sloly,former Chief,witness,Ottawa Police Service / City of Ottawa (Ott-OPS),represented individually
prime minister justin trudeau,Justin Trudeau,Prime Minister,witness,Prime Minister’s Office / Government of Canada (GC-PMO),
prof. ryan alford,Ryan Alford,Professor,counsel,Canadian Constitution Foundation and Professor Ryan Alford (CCF and Alford),
rebecca jones,Rebecca Jones,Counsel,counsel,Peter Sloly,verify title
rebecca shepherd,Rebecca Shepherd,,counsel,Brigitte Belton,supported with reading
rob kittredge,Rob Kittredge,Counsel,counsel,Democracy Fund / Citizens for Freedom / Justice Centre for Constitutional Freedoms Coalition (DF / CfF / JCCF),verify title
robert mackinnon,Robert MacKinnon,Counsel,counsel,Government of Canada (GC),verify title
ryann atkins,Ryann Atkins,Counsel,counsel,Government of Canada (GC),
sajeda hedaraly,Sajeda Hedaraly,Counsel,counsel,Public Order Emergency Commission (POEC),
serge arpin,Serge Arpin,Chief of Staff,witness,City of Ottawa (Ott),
shantona chaudhury,Shantona Chaudhury,Co-lead Counsel,counsel,Public Order Emergency Commission (POEC),
sherif foda,Sherif Foda,Counsel,counsel,Jeremy MacKenzie,
steeve charland,Steeve Charland,,witness,Farfadaas,SAE.00000011
stephanie bowes,Stephanie Bowes,Counsel,counsel,Government of Alberta (AB),verify title
stephen armstrong,Stephen Armstrong,Counsel,counsel,Public Order Emergency Commission (POEC),
stephen aylward,Stephen Aylward,Counsel,counsel,Government of Canada (GC),verify title
steve kanellakos,Steve Kanellakos,City Manager,witness,City of Ottawa (Ott),
sujit choudhry,Sujit Choudhry,Counsel,counsel,Canadian Constitution Foundation (CCF),verify title
supt. craig abrams,Craig Abrams,Superintendent (Supt),witness,Ontario Provincial Police / Government of Ontario (ON-OPP),
supt. dana earley,Dana Earley,Superintendent (Supt),witness,Ontario Provincial Police / Government of Ontario (ON-OPP),
supt. patrick morris,Pat Morris,Superintendent (Supt),witness,Ontario Provincial Police / Government of Ontario (ON-OPP),
supt. robert bernier,Robert Bernier,Superintendent (Supt),witness,Ottawa Police Service / City of Ottawa (Ott-OPS),
supt. robert drummond,Robert Drummond,Superintendent (Supt),witness,Ottawa Police Service / City of Ottawa (Ott-OPS),
tamara lich,Tamara Lich,,witness,Freedom Corp / Convoy Organizers,
the clerk,The Clerk,,commission,Public Order Emergency Commission (POEC),
the registrar,The Registrar,,commission,Public Order Emergency Commission (POEC),
thomas mcrae,Thomas McRae,Counsel,counsel,Windsor Police Service / City of Windsor (Win-WPS),verify title
tom curry,Tom Curry,Counsel,counsel,Peter Sloly,verify title
tom marazzo,Tom Marazzo,,witness,Freedom Corp / Convoy Organizers,
unidentified speaker,Unidentified speaker,,other,,
victor ryan,Victor Ryan,Counsel,counsel,Government of Canada (GC),
victoria de la ronde,Victoria De La Ronde,,witness,Ottawa residents,
zexi li,Zexi Li,,witness,Ottawa residents,
NA
bonnie emerson,Bonnie Emerson,??TBC??,expert,??TBC??,
cal corley,Cal Corley,??TBC??,expert,??TBC??,
chief jim ramer,Jim Ramer,??TBC??,expert,??TBC??,
dean robert leckey,Robert Leckey,??TBC??,expert,??TBC??,
dr. ambarish chandra,Ambarish Chandra,??TBC??,expert,??TBC??,
dr. colton fehr,Colton Fehr,??TBC??,expert,??TBC??,
dr. david morin,David Morin,??TBC??,expert,??TBC??,
dr. dax d’orazio,Dax D’Orazio,??TBC??,expert,??TBC??,
dr. dennis baker,Dennis Baker,??TBC??,expert,??TBC??,
dr. dwight newman,Dwight Newman,??TBC??,expert,??TBC??,
dr. emily laidlaw,Emily Laidlaw,??TBC??,expert,??TBC??,
dr. jocelyn stacey,Jocelyn Stacey,??TBC??,expert,??TBC??,
dr. jonathon penny,Jonathon Penny,??TBC??,expert,??TBC??,
dr. judith sayers,Judith Sayers,??TBC??,expert,??TBC??,
dr. kate puddister,Kate Puddister,??TBC??,expert,??TBC??,
dr. kevin quigley,Kevin Quigley,??TBC??,expert,??TBC??,
dr. leah west,Leah West,??TBC??,expert,??TBC??,
dr. malcolm thorburn,Malcolm Thorburn,??TBC??,expert,??TBC??,
dr. michael kempa,Michael Kempa,??TBC??,expert,??TBC??,
dr. phil boyle,Phil Boyle,??TBC??,expert,??TBC??,
dr. robert diab,Robert Diab,??TBC??,expert,??TBC??,
dr. vanessa macdonnell,Vanessa MacDonnell,??TBC??,expert,??TBC??,
dr. vivek venkatesh,Vivek Venkatesh,??TBC??,expert,??TBC??,
dr. wesley wark,Wesley Wark,??TBC??,expert,??TBC??,
florence ouellet,Florence Ouellet,??TBC??,expert,??TBC??,
françois delorme,François Delorme,??TBC??,expert,??TBC??,
jessica davis,Jessica Davis,??TBC??,expert,??TBC??,
kent roach,Kent Roach,??TBC??,expert,??TBC??,
michael williams,Michael Williams,??TBC??,expert,??TBC??,
patrick leblond,Patrick Leblond,??TBC??,expert,??TBC??,
prof. brian bird,Brian Bird,??TBC??,expert,??TBC??,
prof. carissima mathen,Carissima Mathen,??TBC??,expert,??TBC??,
prof. christian leuprecht,Christian Leuprecht,??TBC??,expert,??TBC??,
prof. gerard kennedy,Gerard Kennedy,??TBC??,expert,??TBC??,
prof. jack lindsay,Jack Lindsay,??TBC??,expert,??TBC??,
prof. jamie cameron,Jamie Cameron,??TBC??,expert,??TBC??,
prof. jean-françois gaudreault-desbiens,Jean-François Gaudreault-Desbiens,??TBC??,expert,??TBC??,
prof. michelle cumyn,Michelle Cumyn,??TBC??,expert,??TBC??,
prof. michelle gallant,Michelle Gallant,??TBC??,expert,??TBC??,
prof. richard moon,Richard Moon,??TBC??,expert,??TBC??,
richard fadden,Richard Fadden,??TBC??,expert,??TBC??,
ryan teschner,Ryan Teschner,??TBC??,expert,??TBC??,
ward elcock,Ward Elcock,??TBC??,expert,??TBC??,
wayne mackay,Wayne Mackay,??TBC??,expert,??TBC??,
dr. hoi kong,Hoi Kong,??TBC??,expert,??TBC??,
dr. karin loevy,Karin Loevy,??TBC??,expert,??TBC??,
dr. kim lane scheppele,Kim Lane Scheppele,??TBC??,expert,??TBC??,
dr. nomi claire lazar,Nomi Claire Lazar,??TBC??,expert,??TBC??,
dr. victor v. ramraj,Victor V. Ramraj,??TBC??,expert,??TBC??,
morris rosenberg,Morris Rosenberg,??TBC??,expert,??TBC??,
